Item,Description,Size,Color Code,Color,Wheel Size,Units available
M102TTCC,AVANT H40-D,47,BH,White-Grey (Gloss),,7
M102TTCC,AVANT H40-D,47,BI,Speed Silver (Matte),,3
M102TTCC,AVANT H40-D,47,BJ,Military Green- Gold (Gloss),,7
M102TTCC,AVANT H40-D,49,BI,Speed Silver (Matte),,9
M102TTCC,AVANT H40-D,49,BJ,Military Green- Gold (Gloss),,4
M102TTCC,AVANT H40-D,51,BH,White-Grey (Gloss),,1
M102TTCC,AVANT H40-D,51,BI,Speed Silver (Matte),,+10
M102TTCC,AVANT H40-D,51,BJ,Military Green- Gold (Gloss),,+10
M102TTCC,AVANT H40-D,53,BH,White-Grey (Gloss),,6
M102TTCC,AVANT H40-D,53,BI,Speed Silver (Matte),,+10
M102TTCC,AVANT H40-D,53,BJ,Military Green- Gold (Gloss),,+10
M102TTCC,AVANT H40-D,55,BH,White-Grey (Gloss),,7
M102TTCC,AVANT H40-D,55,BI,Speed Silver (Matte),,+10
M102TTCC,AVANT H40-D,55,BJ,Military Green- Gold (Gloss),,+10
M102TTCC,AVANT H40-D,57,BH,White-Grey (Gloss),,7
M102TTCC,AVANT H40-D,57,BI,Speed Silver (Matte),,7
M102TTCC,AVANT H40-D,57,BJ,Military Green- Gold (Gloss),,6
M102TTCC,AVANT H40-D,60,BI,Speed Silver (Matte),,3
M103TTCC,AVANT H30-D,47,BH,White-Grey (Gloss),,2
M103TTCC,AVANT H30-D,47,BI,Speed Silver (Matte),,+10
M103TTCC,AVANT H30-D,49,BI,Speed Silver (Matte),,4
M103TTCC,AVANT H30-D,49,BJ,Military Green- Gold (Gloss),,2
M103TTCC,AVANT H30-D,51,BH,White-Grey (Gloss),,2
M103TTCC,AVANT H30-D,51,BI,Speed Silver (Matte),,+10
M103TTCC,AVANT H30-D,51,BJ,Military Green- Gold (Gloss),,9
M103TTCC,AVANT H30-D,53,BH,White-Grey (Gloss),,8
M103TTCC,AVANT H30-D,53,BI,Speed Silver (Matte),,+10
M103TTCC,AVANT H30-D,53,BJ,Military Green- Gold (Gloss),,+10
M103TTCC,AVANT H30-D,55,BH,White-Grey (Gloss),,1
M103TTCC,AVANT H30-D,55,BI,Speed Silver (Matte),,2
M103TTCC,AVANT H30-D,55,BJ,Military Green- Gold (Gloss),,+10
M103TTCC,AVANT H30-D,57,BH,White-Grey (Gloss),,6
M103TTCC,AVANT H30-D,57,BI,Speed Silver (Matte),,+10
M103TTCC,AVANT H30-D,57,BJ,Military Green- Gold (Gloss),,+10
M103TTCC,AVANT H30-D,60,BI,Speed Silver (Matte),,+10
M103TTCC,AVANT H30-D,60,BJ,Military Green- Gold (Gloss),,6
M215TTCC,ALMA H30,S,L1,Indigo Blue(Matt) - Bright Red (Gloss),,+10
M215TTCC,ALMA H30,S,L2,White Grey - Metallic Red (Gloss),,6
M215TTCC,ALMA H30,S,L3,Black (Matt) - Ice Green (Gloss),,+10
